seg_id,time_to_failure
seg_00030f,3.7754205109914274
seg_0012b5,4.6703248155357135
seg_00184e,5.761516421516544
seg_003339,8.917589139259034
seg_0042cc,6.80530761392414
seg_004314,1.8282553880395163
seg_004cd2,8.850952388647844
seg_004ee5,4.7894315030134855
seg_004f1f,4.692665348730738
seg_00648a,2.5773477519190764
seg_006e4a,2.994308870902723
seg_007a37,4.46774735873121
seg_00a37e,2.6521678030625764
seg_00be11,3.0966554940660513
seg_00c35b,8.344630348745007
seg_00cc91,4.246598436498658
seg_00e5f7,5.290099417449346
seg_00f3b9,3.2294473759032645
seg_010eab,6.95332499282732
seg_0125d9,4.681693563239527
seg_0144cb,4.536069564680886
seg_0165c6,10.396761207818143
seg_016913,3.894379907416175
seg_016cdb,5.250698465490714
seg_017314,6.4108079866223635
seg_01a8dc,4.38892351934265
seg_01c775,8.937350216588024
seg_01ecb0,3.3904095601496542
seg_02042f,2.3302120588141
seg_025e78,4.915914946607073
seg_032822,4.58242914352801
seg_0339ca,6.555762005112646
seg_037461,3.9873795216716936
seg_038879,6.536815002753279
seg_03d386,2.7205907567812684
seg_03d63e,4.462498975670565
seg_03d680,9.726518809383698
seg_03f380,3.1609000240959326
seg_0445d7,6.752973454665345
seg_046c28,2.005163498179566
seg_0488a1,4.791457527413559
seg_049957,9.7129749932669
seg_04a696,8.782452168891457
seg_04ae38,4.735903485605572
seg_04b87a,8.93961200981367
seg_04cceb,9.452707560616787
seg_04ee93,7.645855812779149
seg_04fd93,6.561880389121625
seg_0536c9,3.54329381871778
seg_055127,6.657569290872313
seg_05a1b0,4.408126139951164
seg_05a4ad,6.263449862727519
seg_05b66a,8.680632945560511
seg_05bef4,2.7582523352357455
seg_05e0d7,5.454409770246724
seg_05f126,10.183140722122559
seg_05f9d6,6.820355402990226
seg_060ce4,2.4408364133759175
seg_061a33,9.300238758988886
seg_0620e6,7.426621799047294
seg_063865,7.316712034790617
seg_065588,4.589671859796093
seg_06893f,2.4969359681014804
seg_06b8c9,4.713153200945873
seg_06bbc5,4.013187806661748
seg_06d4a2,2.9694456191533782
seg_06d7ba,2.7675533824820255
seg_070bb0,2.757892110475202
seg_071067,2.27431140438707
seg_073696,9.675506474395796
seg_075340,4.850280170931893
seg_075f77,2.657725993269693
seg_0775a7,3.6358633064732855
seg_077b7e,4.71796585554167
seg_079e34,4.079659551485411
seg_07c815,3.9520354332776146
seg_07cd72,4.1790398770753985
seg_07f37c,5.671660001073946
seg_07f8df,4.496227642332597
seg_07fc6d,8.34971222993342
seg_086a61,9.585054714289537
seg_0870ab,5.716339157780609
seg_0879a8,8.583135714669934
seg_08b136,8.404741859241534
seg_08f441,4.040613994720643
seg_08fd5b,4.21223336335536
seg_091c9d,10.773829129138306
seg_093a0a,7.823365102625144
seg_0968f1,8.456122183404961
seg_0981f3,2.1153084154292303
seg_09dd59,7.307787806671462
seg_09ed4e,8.611025230520145
seg_09f0ff,4.252286363852518
seg_0a0fbb,10.205387311967092
seg_0a1bd0,5.476056219938716
seg_0a42ba,9.282184450090323
seg_0a45a1,3.413468520419243
seg_0a97c4,5.550467853368787
seg_0aa0fb,7.939928081535667
seg_0b07c7,7.024598532288131
seg_0b082e,9.773006581652194
seg_0b32f7,3.3165940980362
seg_0b3b94,5.989636946067608
seg_0b48c4,4.142064783590131
seg_0b4b24,3.3548117379270703
seg_0b54ac,4.368830491283499
seg_0b76f5,10.60144716384794
seg_0b9ad8,8.209797382266375
seg_0b9ba3,9.925310534813297
seg_0ba210,10.017285396053378
seg_0ba585,3.9638939767171473
seg_0bb5fd,5.425523391945531
seg_0bc877,2.1095581681091873
seg_0be6ee,2.121202909714995
seg_0c12cc,7.3163541986959455
seg_0c1d3a,4.385736206361341
seg_0c247b,7.189398600508768
seg_0c3943,2.9573475277644152
seg_0c4e31,2.1109966882667175
seg_0c74cf,2.4631235093760444
seg_0c8502,9.640232775137163
seg_0c89ce,5.587398965583768
seg_0c9aa8,10.298521700210987
seg_0cb81b,2.416297808579036
seg_0cca14,4.841813503413035
seg_0cdcc8,2.616945954787499
seg_0cf651,3.3568657876474712
seg_0d0250,4.0022955454688365
seg_0d04b9,5.1161271848251095
seg_0d13a7,4.558335846422471
seg_0d434c,10.384049448570641
seg_0d540e,3.1277045178003293
seg_0d663a,7.894137684145884
seg_0d6d68,6.180061904332404
seg_0d762e,7.358893673592494
seg_0d833c,8.174169234746433
seg_0dae4b,3.527197930911445
seg_0dc38f,2.609845837091423
seg_0dcc40,7.373641974824227
seg_0df469,3.9808814430360555
seg_0df75c,8.907778176925978
seg_0dfe8c,5.3280029712276
seg_0e1370,1.8360706418114718
seg_0e1fbe,4.9505428681989985
seg_0e3739,4.910383429690188
seg_0e3d44,3.5485035492763206
seg_0e3ed2,2.3013358225194747
seg_0e4833,11.3507351954705
seg_0e7cc5,7.425536805122699
seg_0e8b79,10.682598775006097
seg_0e9987,4.818856680644561
seg_0e9bb3,5.7338060928087895
seg_0eb333,2.5689496767104867
seg_0ebfd9,6.17936901102315
seg_0f565c,4.634454779530289
