mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39
292.236653,12.03741041,-37.85956798,-2.802070253,8.537305713,8.364485927,-4.979942651,5.18666082,7.553532701,5.870985374,2.058415375,6.169243742,5.502542535,2.645817942,2.361642318,9.129659301,8.848564623,2.179234203,0.63166721,5.843472685,4.463712151,0.55854923,2.933429421,6.507221972,4.220434451,1.600856241,3.116420259,5.334837825,4.526720053,3.009422592,2.619330705,3.500627394,4.225363274,3.927180258,3.199871904,3.249875178,2.884357016,2.935180881,3.440045455,3.476741168
295.1312616,13.63054286,-38.56194083,-2.951444617,8.65663215,7.976764085,-5.17628746,5.662450151,7.595125606,5.256143259,0.845673317,4.783147597,5.267925246,2.506548061,2.281031055,9.652038026,9.766003395,2.052505013,0.208004126,5.26759685,4.375609222,0.390930662,2.317004288,5.986048158,4.25422516,1.945843823,3.089039363,4.906849523,3.829236607,3.059268511,2.932149873,4.086226869,4.948791206,3.821274919,2.64709561,3.314416867,2.922705943,2.618623325,3.042350364,3.391743948
301.8735848,17.89935391,-41.59948787,-6.53175127,8.355994035,7.941005577,-6.127925921,5.306788588,7.422391969,4.71878065,0.537112439,5.283464132,5.890076901,2.884989644,2.770849915,10.74145661,10.77387454,1.758180892,-1.083761806,5.002200782,3.90867209,0.010071566,2.596168213,6.705419525,4.490966106,2.118867249,3.577710567,5.279002895,4.549599358,3.227010891,3.328188438,4.738670805,5.041013521,3.667526802,2.609643577,2.634121353,2.676369172,2.678147119,3.240999597,3.168878535
297.5218027,16.11302202,-38.62480847,-4.344925181,7.612554035,6.839366018,-5.898383912,5.619942691,8.180475132,4.871943472,0.448527933,5.070807903,6.039745523,3.895369089,2.614913443,9.270708248,9.353570368,2.430773665,0.241220724,5.154506385,4.14623444,0.28068028,2.664060104,6.193357112,4.05130521,1.381039677,3.232811034,5.092819613,3.966621654,3.261418018,3.104518925,3.678148679,4.143541302,4.180009507,3.140083603,3.179058874,2.886044778,2.921658921,3.303125868,3.133953525
298.2886526,17.10390119,-38.54493954,-5.055634295,6.619632235,6.944196031,-4.931024827,5.851265201,7.334111528,4.861037042,0.63608651,4.361604478,5.297294989,3.924999084,3.25688489,8.881013075,8.357991995,1.171497315,-0.447828255,4.87811911,4.488935527,1.084878595,3.108886392,6.716413569,4.778528972,1.987093263,2.855180882,4.377023659,3.884690551,3.775209347,3.817546139,4.480851292,4.456940463,3.956481589,3.65726833,3.350676571,3.509841975,3.38294745,3.152516279,3.222714474
295.1699149,13.09898187,-39.75133189,-3.192041341,9.764676019,8.954418566,-4.452137269,5.36126846,7.27986024,5.94289755,0.768982575,4.346670762,5.714921708,3.272993182,2.127759712,9.040331125,9.545332705,2.572375962,-0.01204398,5.517959659,4.405249673,0.615882435,2.390303612,6.375826006,4.466680655,2.110222427,3.853708447,5.47128173,3.951668309,2.964534755,2.99205977,3.837714437,4.163758451,3.339792991,2.626665745,3.373926575,3.837828778,3.133345048,2.905591883,2.967639194
296.7522242,13.75441378,-40.6348874,-3.38345879,9.941275946,8.344630613,-5.562236264,5.562714541,7.203238304,4.935619553,1.536276463,5.049204698,5.172033703,2.700960157,2.413759962,9.818725755,9.88834486,1.813873968,-1.07828945,4.373770837,3.984009005,0.607720601,2.934944232,6.865749722,4.763825294,2.141534889,3.569682899,5.280900436,4.30027041,2.646985909,2.532701017,3.775447729,4.877162995,4.081866047,2.879805532,2.753323889,3.27668256,3.044150175,2.796866647,2.769070922
292.8150645,13.41928824,-36.48583204,-2.876155322,6.635788294,6.595187429,-4.829443012,5.37960674,6.379023143,4.821478676,1.277371232,5.137634525,5.468611496,2.943319769,2.521081842,9.012836544,9.848457338,3.449908111,0.940782696,5.122099002,3.938747278,0.088105003,2.208379449,6.376390209,4.488602067,1.837168331,3.624139006,5.214347311,4.750261392,3.299896866,2.62444284,3.764645276,4.425775775,4.15148307,3.442149702,3.052673985,2.778160736,2.718749521,2.88399939,2.795835143
304.398997,18.99735251,-43.97736126,-7.242986017,8.602212507,6.366125878,-7.358784402,5.311178853,8.533849867,5.69364662,0.345787436,4.480556703,5.665208812,3.038301205,2.755420664,10.21145038,10.23534453,1.691463602,-0.599066929,5.013276071,3.259550476,-0.476275169,2.608197695,6.722022563,4.567488118,1.827029273,3.006137005,5.202366462,4.631217856,3.020772319,3.308904879,4.310310825,4.552770379,3.896703624,2.773849321,2.668748508,2.978893115,2.851204429,3.776199253,3.726602644
299.7508882,16.17658541,-41.80977001,-5.605195746,7.766526556,6.643962713,-6.136834084,5.065864761,7.289195428,6.224702195,1.709509309,4.610375089,5.415495793,2.513980333,2.382964495,10.22643651,10.78646352,2.210262513,0.075582702,5.873322216,4.39674886,-0.157474844,2.230147848,6.626227218,4.527325528,1.691960055,3.073941972,5.00686748,4.261056797,2.823141621,3.152031271,4.330695226,5.060136677,4.199003801,2.63813584,2.490474727,2.840165883,3.330139679,3.543940839,2.987508063
