10804991,16837712,63044133,61673177,59879818,26548514
40754581,49519822,2442657,33536021,56182569,5175447
61152051,86613139,90777691,43935586,67051701,39498226
51046969,3210689,16268569,94121751,16143352,33934210
26130885,98148542,63311688,3158245,53734196,76764021
37920772,31101347,90814034,18377637,57460600,34939489
36775305,1090339,75756302,64912898,55941981,82316461
7675825,72122324,37813113,52164547,67579513,79515410
63601922,60934579,93436849,57192270,91382157,6903514
7592430,60224280,47062851,39985139,38863774,55472713
22710536,93371177,57951082,39827056,61886316,38114813
66940659,29323818,59294038,9229099,98369244,37822342
55237212,93467439,56214711,50659992,81806767,20433011
62683481,38041701,92610537,28361683,64884980,21318714
6458870,24143144,46120438,1620705,46799540,36203248
8601716,3241396,72611877,85359458,81330330,69147506
9399917,99060785,75199481,38074776,70393234,93395105
84833365,14398188,12637862,32328839,16877808,66371215
89407436,41666503,80748131,98974227,75322053,64996780
85312653,56537483,93637193,39279925,28239186,53867760
7124318,904087,18767280,15010159,60997637,82622718
40167006,8113189,43004533,70667768,38988730,8598746
19695352,4302202,68763119,72206770,54879379,27853153
79061022,46655935,91516973,77617025,59058077,87943136
33199120,25108885,44771110,32353294,35557812,58208165
10388997,87897089,65452522,56873468,32839326,13548139
88324282,85769597,54735151,93602294,87503000,45018896
17558860,20602319,52611624,970456,1175346,93343059
80902703,91629281,16816334,74347879,78215847,75285126
94822666,42624795,86053347,86819056,27786256,18863573
33464564,83116339,36652566,36871535,93997435,20355741
18097972,6801942,99693893,42044677,41902505,23701055
20395658,65812741,95270867,1671196,86722330,60095057
22780897,92772033,33979452,89671698,2377899,90003096
54351459,24648488,82170871,2232645,64749662,94610585
7275561,69482083,15729793,46455504,72839513,24549354
49704156,54672797,50242946,39270671,95675438,79459805
32892373,77288491,4380135,62173871,50802540,8873667
57069872,8445194,18731477,88160299,82302126,38031372
33260673,74722176,2035792,52549241,33779057,51852887
31248998,51106850,59895417,29177777,43335538,59324379
67888404,81268726,34549733,54998777,89397388,93023377
92801430,90690117,88000292,2909851,25993596,83896809
20697980,58606321,89959916,6387566,99119119,33663649
69910154,35289023,93753860,82547261,90514361,25981749
73101244,74718117,7187076,81232025,62127956,51880450
8216108,8756825,77954250,75231155,54107214,68105378
79387752,43346713,52225369,43572579,15138691,89862852
5157601,31863872,78584433,5852414,55443307,68117578
2458142,67562007,47593405,45110620,97738489,24928644
32621820,35263295,91836488,56093892,85696945,47630643
25690391,50465162,96457226,9558136,31039024,95049150
79408705,44153386,37025215,6798341,89759420,84591472
51976650,83230960,33492137,97795329,11828790,23758640
18321315,65714363,77626375,34542466,30335452,13373529
31432328,41980446,98952192,31376858,83413766,51725162
60467369,26421268,73182049,29844510,92381414,46807024
20783685,39023619,8994010,58518761,14386599,29557417
94837208,95960245,41936380,66867483,26117863,85444607
21430794,6984031,19420872,38951701,81683295,75738287
84047975,59099221,32850835,63960057,80613104,67120776
78464255,89020140,83811432,45508326,81698810,45044422
9642074,72344937,43209529,36531383,89319975,17844432
21449103,55281368,75223830,95847084,23447416,33393649
25171184,94337333,44974233,17518042,12369092,18528999
49443833,67801484,76485551,61362720,1390955,46517927
99214642,57448231,24026375,70387823,1482918,97710912
11018224,85796891,1954557,47505959,54065870,54118097
26955922,64928292,17161616,56997470,21227982,73619802
30677533,81633694,92950587,88657840,96354963,71816872
16864634,8761683,37074589,19348468,38544027,94298539
3153916,49521935,99283852,39953571,91487738,82562060
67665477,13603023,58523470,40442216,59267890,75312514
89175825,26502869,77873148,45638564,10493946,84249268
39300254,48643406,62551396,44236877,79653988,55369166
81249745,31520168,68123456,56802451,74537090,27273420
6688946,50127557,3062088,71547827,70730273,10498318
58687286,5194163,49646114,20419529,96622639,23775627
76572680,14086275,90854568,17589304,95885231,21834420
24826719,39648374,75051213,44330301,84187782,75106176
90113075,81856714,27925248,96783710,43702021,39372150
122470,35315082,73619788,13051183,88880550,7303692
62803948,14204170,6984085,85779628,14391265,21356095
26424822,25152229,31154970,5071147,1861927,93907847
82566405,68456741,3802639,1405954,47793673,85656072
15642358,20147571,41101712,87588216,99472507,74005977
35849850,55767345,46191982,12989853,1376502,19218520
49287313,28587524,84060719,90423569,57458686,49906112
98609783,82172303,2822548,54972907,6321684,96022929
31570147,79572505,62492191,24697274,43045221,38448272
3514359,5806559,13846523,10851641,41022785,32112842
48136489,88533440,9446640,9148264,87159934,43778913
68750812,35391659,32703914,70686978,96253551,4355689
12375274,98669842,60573362,42648623,5553392,72786399
18859817,89569492,81653943,56236161,84232220,79279392
91271761,7598600,59131775,78669421,47148536,30393114
62019964,6480329,53566027,57908556,46845212,11738903
15899424,68520065,12053717,5462185,87803482,95087156
54204808,308853,60081775,15605473,19418850,14932439
68276370,4677113,41916201,16282970,3786968,41705606
74738418,83781096,62980094,8055192,20217658,51958379
80388081,12438670,99460328,10981292,95567722,77275970
